"Time Stamp","Time Zone","Name","PTID","Load"
"05/14/2023 00:00:00","EDT","CAPITL",61757,1018.6909
"05/14/2023 00:00:00","EDT","CENTRL",61754,1363.408
"05/14/2023 00:00:00","EDT","DUNWOD",61760,564.7249
"05/14/2023 00:00:00","EDT","GENESE",61753,838.1211
"05/14/2023 00:00:00","EDT","HUD VL",61758,923.4837
"05/14/2023 00:00:00","EDT","LONGIL",61762,1942.9506
"05/14/2023 00:00:00","EDT","MHK VL",61756,625.4771
"05/14/2023 00:00:00","EDT","MILLWD",61759,246.0283
"05/14/2023 00:00:00","EDT","N.Y.C.",61761,5002.7666
"05/14/2023 00:00:00","EDT","NORTH",61755,586.9786
"05/14/2023 00:00:00","EDT","WEST",61752,1288.339
"05/14/2023 00:02:31","EDT","CAPITL",61757,984.6834
"05/14/2023 00:02:31","EDT","CENTRL",61754,1372.6978
"05/14/2023 00:02:31","EDT","DUNWOD",61760,566.1318
"05/14/2023 00:02:31","EDT","GENESE",61753,843.0889
"05/14/2023 00:02:31","EDT","HUD VL",61758,905.241
"05/14/2023 00:02:31","EDT","LONGIL",61762,1930.7507
"05/14/2023 00:02:31","EDT","MHK VL",61756,627.7782
"05/14/2023 00:02:31","EDT","MILLWD",61759,240.3404
"05/14/2023 00:02:31","EDT","N.Y.C.",61761,4927.436
"05/14/2023 00:02:31","EDT","NORTH",61755,579.2865
"05/14/2023 00:02:31","EDT","WEST",61752,1272.1571
"05/14/2023 00:03:55","EDT","CAPITL",61757,981.7428
"05/14/2023 00:03:55","EDT","CENTRL",61754,1351.3618
"05/14/2023 00:03:55","EDT","DUNWOD",61760,560.3823
"05/14/2023 00:03:55","EDT","GENESE",61753,828.8841
"05/14/2023 00:03:55","EDT","HUD VL",61758,879.2274
"05/14/2023 00:03:55","EDT","LONGIL",61762,1919.5269
"05/14/2023 00:03:55","EDT","MHK VL",61756,628.6613
"05/14/2023 00:03:55","EDT","MILLWD",61759,243.1272
"05/14/2023 00:03:55","EDT","N.Y.C.",61761,4927.5786
"05/14/2023 00:03:55","EDT","NORTH",61755,598.8547
"05/14/2023 00:03:55","EDT","WEST",61752,1293.4979
"05/14/2023 00:05:00","EDT","CAPITL",61757,985.5736
"05/14/2023 00:05:00","EDT","CENTRL",61754,1355.418
"05/14/2023 00:05:00","EDT","DUNWOD",61760,562.293
"05/14/2023 00:05:00","EDT","GENESE",61753,827.6472
"05/14/2023 00:05:00","EDT","HUD VL",61758,890.6702
"05/14/2023 00:05:00","EDT","LONGIL",61762,1914.0109
"05/14/2023 00:05:00","EDT","MHK VL",61756,619.5587
"05/14/2023 00:05:00","EDT","MILLWD",61759,236.2753
"05/14/2023 00:05:00","EDT","N.Y.C.",61761,4929.9917
"05/14/2023 00:05:00","EDT","NORTH",61755,595.4279
"05/14/2023 00:05:00","EDT","WEST",61752,1284.397
"05/14/2023 00:10:00","EDT","CAPITL",61757,981.9335
"05/14/2023 00:10:00","EDT","CENTRL",61754,1316.5679
"05/14/2023 00:10:00","EDT","DUNWOD",61760,558.2566
"05/14/2023 00:10:00","EDT","GENESE",61753,827.831
"05/14/2023 00:10:00","EDT","HUD VL",61758,893.6185
"05/14/2023 00:10:00","EDT","LONGIL",61762,1911.559
"05/14/2023 00:10:00","EDT","MHK VL",61756,624.1235
"05/14/2023 00:10:00","EDT","MILLWD",61759,245.9406
"05/14/2023 00:10:00","EDT","N.Y.C.",61761,4918.0596
"05/14/2023 00:10:00","EDT","NORTH",61755,600.6931
"05/14/2023 00:10:00","EDT","WEST",61752,1287.6282
"05/14/2023 00:15:00","EDT","CAPITL",61757,975.233
"05/14/2023 00:15:00","EDT","CENTRL",61754,1310.6108
"05/14/2023 00:15:00","EDT","DUNWOD",61760,570.8799
"05/14/2023 00:15:00","EDT","GENESE",61753,825.5203
"05/14/2023 00:15:00","EDT","HUD VL",61758,880.7188
"05/14/2023 00:15:00","EDT","LONGIL",61762,1905.127
"05/14/2023 00:15:00","EDT","MHK VL",61756,613.6082
"05/14/2023 00:15:00","EDT","MILLWD",61759,227.6553
"05/14/2023 00:15:00","EDT","N.Y.C.",61761,4855.67
"05/14/2023 00:15:00","EDT","NORTH",61755,590.6321
"05/14/2023 00:15:00","EDT","WEST",61752,1264.2415
"05/14/2023 00:20:00","EDT","CAPITL",61757,972.6682
"05/14/2023 00:20:00","EDT","CENTRL",61754,1333.7009
"05/14/2023 00:20:00","EDT","DUNWOD",61760,556.4886
"05/14/2023 00:20:00","EDT","GENESE",61753,819.8527
"05/14/2023 00:20:00","EDT","HUD VL",61758,855.7707
"05/14/2023 00:20:00","EDT","LONGIL",61762,1880.11
"05/14/2023 00:20:00","EDT","MHK VL",61756,613.4506
"05/14/2023 00:20:00","EDT","MILLWD",61759,255.9579
"05/14/2023 00:20:00","EDT","N.Y.C.",61761,4870.118
"05/14/2023 00:20:00","EDT","NORTH",61755,598.4131
"05/14/2023 00:20:00","EDT","WEST",61752,1264.2383
"05/14/2023 00:25:00","EDT","CAPITL",61757,950.6692
"05/14/2023 00:25:00","EDT","CENTRL",61754,1344.2512
"05/14/2023 00:25:00","EDT","DUNWOD",61760,556.675
"05/14/2023 00:25:00","EDT","GENESE",61753,824.9221
"05/14/2023 00:25:00","EDT","HUD VL",61758,896.1459
"05/14/2023 00:25:00","EDT","LONGIL",61762,1868.5161
"05/14/2023 00:25:00","EDT","MHK VL",61756,589.2756
"05/14/2023 00:25:00","EDT","MILLWD",61759,241.3932
"05/14/2023 00:25:00","EDT","N.Y.C.",61761,4847.903
"05/14/2023 00:25:00","EDT","NORTH",61755,619.4923
"05/14/2023 00:25:00","EDT","WEST",61752,1266.6106
"05/14/2023 00:30:00","EDT","CAPITL",61757,960.4996
"05/14/2023 00:30:00","EDT","CENTRL",61754,1342.6155
"05/14/2023 00:30:00","EDT","DUNWOD",61760,552.5523
"05/14/2023 00:30:00","EDT","GENESE",61753,817.72
"05/14/2023 00:30:00","EDT","HUD VL",61758,866.034
"05/14/2023 00:30:00","EDT","LONGIL",61762,1861.1283
"05/14/2023 00:30:00","EDT","MHK VL",61756,593.79
"05/14/2023 00:30:00","EDT","MILLWD",61759,235.9968
"05/14/2023 00:30:00","EDT","N.Y.C.",61761,4818.454
"05/14/2023 00:30:00","EDT","NORTH",61755,593.7031
"05/14/2023 00:30:00","EDT","WEST",61752,1278.3846
"05/14/2023 00:35:00","EDT","CAPITL",61757,944.4029
"05/14/2023 00:35:00","EDT","CENTRL",61754,1320.677
"05/14/2023 00:35:00","EDT","DUNWOD",61760,542.8759
"05/14/2023 00:35:00","EDT","GENESE",61753,811.4251
"05/14/2023 00:35:00","EDT","HUD VL",61758,858.2865
"05/14/2023 00:35:00","EDT","LONGIL",61762,1853.0027
"05/14/2023 00:35:00","EDT","MHK VL",61756,595.5702
"05/14/2023 00:35:00","EDT","MILLWD",61759,230.2056
"05/14/2023 00:35:00","EDT","N.Y.C.",61761,4782.9697
"05/14/2023 00:35:00","EDT","NORTH",61755,599.7893
"05/14/2023 00:35:00","EDT","WEST",61752,1257.2224
"05/14/2023 00:40:00","EDT","CAPITL",61757,956.6554
"05/14/2023 00:40:00","EDT","CENTRL",61754,1320.4183
"05/14/2023 00:40:00","EDT","DUNWOD",61760,534.9867
"05/14/2023 00:40:00","EDT","GENESE",61753,804.6339
"05/14/2023 00:40:00","EDT","HUD VL",61758,838.3759
"05/14/2023 00:40:00","EDT","LONGIL",61762,1834.7251
"05/14/2023 00:40:00","EDT","MHK VL",61756,600.1516
"05/14/2023 00:40:00","EDT","MILLWD",61759,247.2204
"05/14/2023 00:40:00","EDT","N.Y.C.",61761,4768.504
"05/14/2023 00:40:00","EDT","NORTH",61755,592.4835
"05/14/2023 00:40:00","EDT","WEST",61752,1251.1447
"05/14/2023 00:45:00","EDT","CAPITL",61757,952.6371
